id_venta,fecha_venta,hora_venta,producto,categoria_producto,cantidad,precio_unitario,total_venta,local,canal_venta,cliente_frecuente,medio_pago,estado_inventario,margen_utilidad_porcentual,formalizado,tipo_turno,aporte_social,latitud,longitud
23,2023-05-15,19:45,Latte,Bebida Caliente,3,6500,19500,Engativa,Presencial,Si,Tarjeta Debito,"20 kg cafe, 1 litros leche",51.73,Si,Tarde,0.0,4.7,-74.1
24,2024-10-09,17:45,Cafe Americano,Bebida Caliente,1,5000,5000,Engativa,Presencial,No,Efectivo,"7 kg cafe, 10 litros leche",36.29,Si,Noche,0.0,4.7,-74.1
25,2023-10-17,18:00,Cafe Americano,Bebida Caliente,4,5000,20000,Fontibon,Online,No,Tarjeta Debito,"12 kg cafe, 9 litros leche",21.25,Si,Noche,0.0,4.68,-74.15
26,2024-12-22,14:00,Capuchino,Bebida Caliente,1,6000,6000,Engativa,Presencial,No,Efectivo,"11 kg cafe, 6 litros leche",26.37,Si,Manana,0.0,4.7,-74.1
27,2024-02-08,17:30,Capuchino,Bebida Caliente,2,6000,12000,Chapinero,Online,No,Efectivo,"9 kg cafe, 1 litros leche",22.8,Si,Tarde,2.0,4.645,-74.057
28,2024-03-10,09:45,Latte,Bebida Caliente,3,6500,19500,Suba,Presencial,Si,Tarjeta Debito,"8 kg cafe, 9 litros leche",40.77,Si,Manana,0.0,4.755,-74.09
29,2024-05-18,11:45,Capuchino,Bebida Caliente,2,6000,12000,Engativa,Presencial,Si,Nequi,"11 kg cafe, 7 litros leche",29.62,Si,Manana,0.0,4.7,-74.1
30,2024-08-29,14:30,Sandwich,Otros,3,7000,21000,Chapinero,Presencial,Si,Tarjeta Debito,"11 kg cafe, 10 litros leche",46.92,Si,Noche,0.0,4.645,-74.057
31,2023-09-10,17:15,Latte,Bebida Caliente,4,6500,26000,Chapinero,Online,No,Tarjeta Credito,"11 kg cafe, 10 litros leche",51.34,Si,Noche,0.0,4.645,-74.057
32,2025-04-07,09:45,Capuchino,Bebida Caliente,4,6000,24000,Usaquen,Presencial,Si,Tarjeta Credito,"18 kg cafe, 2 litros leche",55.37,Si,Manana,0.0,4.702,-74.03
33,2023-02-09,10:30,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,No,Nequi,"9 kg cafe, 4 litros leche",38.83,Si,Noche,0.0,4.645,-74.057
34,2024-03-18,12:00,Latte,Bebida Caliente,3,6500,19500,Engativa,Presencial,No,Nequi,"11 kg cafe, 2 litros leche",36.01,No,Manana,0.0,4.7,-74.1
35,2024-03-21,11:15,Capuchino,Bebida Caliente,4,6000,24000,Suba,Presencial,Si,Efectivo,"10 kg cafe, 4 litros leche",52.18,Si,Tarde,0.5,4.755,-74.09
36,2024-05-03,15:45,Sandwich,Otros,1,7000,7000,Usaquen,Presencial,Si,Tarjeta Debito,"20 kg cafe, 8 litros leche",59.11,Si,Manana,0.0,4.702,-74.03
37,2025-03-05,14:00,Cafe Americano,Bebida Caliente,4,5000,20000,Fontibon,Online,No,Tarjeta Debito,"2 kg cafe, 1 litros leche",21.89,Si,Manana,0.0,4.68,-74.15
38,2023-04-08,15:15,Capuchino,Bebida Caliente,3,6000,18000,Chapinero,Presencial,No,Nequi,"17 kg cafe, 6 litros leche",50.94,Si,Noche,0.0,4.645,-74.057
39,2023-10-25,06:45,Latte,Bebida Caliente,1,6500,6500,Suba,Presencial,Si,Efectivo,"5 kg cafe, 1 litros leche",31.84,Si,Noche,0.0,4.755,-74.09
40,2024-05-21,12:45,Muffin,Panaderia,4,4200,16800,Chapinero,Presencial,No,Efectivo,"11 kg cafe, 10 litros leche",55.89,Si,Manana,0.0,4.645,-74.057
41,2024-07-24,07:15,Latte,Bebida Caliente,1,6500,6500,Engativa,Presencial,No,Efectivo,"9 kg cafe, 10 litros leche",31.71,Si,Tarde,0.0,4.7,-74.1
42,2024-11-10,06:45,Capuchino,Bebida Caliente,4,6000,24000,Usaquen,Presencial,Si,Efectivo,"20 kg cafe, 7 litros leche",41.3,Si,Manana,0.0,4.702,-74.03
43,2024-01-30,06:00,Latte,Bebida Caliente,1,6500,6500,Engativa,Presencial,Si,Nequi,"7 kg cafe, 7 litros leche",46.01,Si,Noche,0.0,4.7,-74.1
44,2024-08-06,15:30,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Presencial,Si,Efectivo,"5 kg cafe, 1 litros leche",59.43,Si,Noche,0.0,4.645,-74.057
45,2024-02-27,13:15,Cafe Americano,Bebida Caliente,1,5000,5000,Engativa,Presencial,No,Nequi,"20 kg cafe, 4 litros leche",47.25,Si,Noche,0.0,4.7,-74.1
46,2023-06-30,13:00,Latte,Bebida Caliente,1,6500,6500,Fontibon,Presencial,Si,Efectivo,"10 kg cafe, 1 litros leche",37.85,Si,Noche,0.0,4.68,-74.15
47,2024-03-12,11:15,Cafe Americano,Bebida Caliente,1,5000,5000,Usaquen,Online,Si,Tarjeta Credito,"12 kg cafe, 7 litros leche",23.12,Si,Tarde,0.0,4.702,-74.03
48,2025-04-12,06:30,Capuchino,Bebida Caliente,1,6000,6000,Chapinero,Online,No,Efectivo,"9 kg cafe, 10 litros leche",22.31,Si,Manana,0.0,4.645,-74.057
49,2023-11-17,07:00,Capuchino,Bebida Caliente,1,6000,6000,Usaquen,Presencial,No,Tarjeta Debito,"17 kg cafe, 10 litros leche",38.23,Si,Manana,0.5,4.702,-74.03
50,2024-07-27,16:00,Capuchino,Bebida Caliente,2,6000,12000,Usaquen,Presencial,Si,Efectivo,"1 kg cafe, 1 litros leche",32.25,Si,Tarde,0.5,4.702,-74.03
51,2024-04-27,18:45,Muffin,Panaderia,4,4200,16800,Engativa,Presencial,No,Efectivo,"10 kg cafe, 10 litros leche",40.04,Si,Noche,0.0,4.7,-74.1
52,2024-06-25,15:30,Te Chai,Bebida Caliente,1,5500,5500,Engativa,Presencial,Si,Efectivo,"17 kg cafe, 6 litros leche",53.28,No,Tarde,0.0,4.7,-74.1
53,2025-01-08,18:00,Capuchino,Bebida Caliente,3,6000,18000,Chapinero,Presencial,Si,Tarjeta Debito,"7 kg cafe, 9 litros leche",44.34,Si,Noche,0.0,4.645,-74.057
54,2024-07-30,20:30,Cafe Americano,Bebida Caliente,2,5000,10000,Engativa,Presencial,No,Tarjeta Debito,"18 kg cafe, 6 litros leche",59.36,Si,Noche,0.5,4.7,-74.1
55,2025-03-18,11:00,Cafe Americano,Bebida Caliente,4,5000,20000,Suba,Presencial,No,Nequi,"2 kg cafe, 1 litros leche",30.86,Si,Noche,0.0,4.755,-74.09
56,2023-12-26,15:00,Latte,Bebida Caliente,1,6500,6500,Fontibon,Presencial,No,Nequi,"9 kg cafe, 7 litros leche",31.4,Si,Noche,0.0,4.68,-74.15
57,2023-07-22,18:15,Latte,Bebida Caliente,1,6500,6500,Usaquen,Presencial,No,Tarjeta Credito,"3 kg cafe, 8 litros leche",54.54,Si,Manana,0.0,4.702,-74.03
58,2024-03-30,10:15,Agua,Bebida Fria,2,3000,6000,Chapinero,Presencial,Si,Tarjeta Debito,"14 kg cafe, 5 litros leche",23.76,Si,Manana,0.0,4.645,-74.057
59,2023-09-12,16:30,Cafe Americano,Bebida Caliente,2,5000,10000,Usaquen,Presencial,Si,Tarjeta Debito,"11 kg cafe, 1 litros leche",33.72,Si,Noche,0.5,4.702,-74.03
60,2023-04-11,19:15,Muffin,Panaderia,1,4200,4200,Chapinero,Online,No,Efectivo,"2 kg cafe, 5 litros leche",59.72,Si,Manana,0.0,4.645,-74.057
61,2024-03-22,15:00,Agua,Bebida Fria,1,3000,3000,Engativa,Online,No,Tarjeta Credito,"17 kg cafe, 1 litros leche",52.22,No,Noche,0.0,4.7,-74.1
62,2025-01-15,13:45,Muffin,Panaderia,2,4200,8400,Chapinero,Presencial,No,Efectivo,"6 kg cafe, 3 litros leche",56.65,Si,Tarde,0.0,4.645,-74.057
63,2023-05-20,19:15,Cafe Americano,Bebida Caliente,4,5000,20000,Fontibon,Presencial,Si,Tarjeta Credito,"7 kg cafe, 4 litros leche",27.13,Si,Manana,0.0,4.68,-74.15
64,2023-12-22,13:00,Capuchino,Bebida Caliente,2,6000,12000,Usaquen,Online,No,Efectivo,"20 kg cafe, 9 litros leche",24.89,Si,Noche,0.0,4.702,-74.03
65,2024-01-18,07:45,Muffin,Panaderia,2,4200,8400,Chapinero,Presencial,No,Tarjeta Debito,"11 kg cafe, 10 litros leche",42.4,Si,Manana,0.0,4.645,-74.057
66,2024-09-14,14:15,Latte,Bebida Caliente,1,6500,6500,Usaquen,Presencial,No,Nequi,"14 kg cafe, 10 litros leche",50.65,Si,Noche,2.0,4.702,-74.03
67,2025-02-24,17:00,Sandwich,Otros,4,7000,28000,Engativa,Presencial,No,Nequi,"17 kg cafe, 1 litros leche",39.24,Si,Tarde,2.0,4.7,-74.1
68,2024-02-21,10:45,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Presencial,No,Efectivo,"16 kg cafe, 6 litros leche",25.42,Si,Noche,0.5,4.645,-74.057
69,2024-04-28,09:45,Capuchino,Bebida Caliente,2,6000,12000,Usaquen,Online,No,Nequi,"6 kg cafe, 3 litros leche",34.64,Si,Tarde,0.0,4.702,-74.03
70,2023-06-12,20:15,Croissant,Panaderia,4,4000,16000,Fontibon,Presencial,No,Tarjeta Debito,"13 kg cafe, 9 litros leche",46.35,Si,Manana,0.0,4.68,-74.15
71,2025-02-16,08:30,Capuchino,Bebida Caliente,2,6000,12000,Usaquen,Presencial,Si,Efectivo,"12 kg cafe, 3 litros leche",29.21,Si,Noche,0.0,4.702,-74.03
72,2024-09-20,16:45,Cafe Americano,Bebida Caliente,1,5000,5000,Engativa,Presencial,No,Tarjeta Debito,"16 kg cafe, 9 litros leche",25.31,Si,Noche,0.0,4.7,-74.1
73,2023-07-15,18:15,Croissant,Panaderia,4,4000,16000,Chapinero,Online,No,Tarjeta Debito,"14 kg cafe, 1 litros leche",36.03,No,Manana,0.0,4.645,-74.057
74,2023-12-09,13:30,Muffin,Panaderia,3,4200,12600,Fontibon,Presencial,Si,Tarjeta Debito,"9 kg cafe, 10 litros leche",35.89,Si,Noche,0.5,4.68,-74.15
75,2023-01-12,12:00,Croissant,Panaderia,3,4000,12000,Chapinero,Online,No,Tarjeta Debito,"13 kg cafe, 9 litros leche",20.08,Si,Noche,1.0,4.645,-74.057
76,2024-12-24,15:00,Te Chai,Bebida Caliente,3,5500,16500,Suba,Presencial,No,Tarjeta Credito,"18 kg cafe, 9 litros leche",37.38,Si,Noche,0.5,4.755,-74.09
77,2023-02-19,08:00,Te Chai,Bebida Caliente,4,5500,22000,Suba,Presencial,Si,Efectivo,"4 kg cafe, 9 litros leche",38.89,No,Noche,0.0,4.755,-74.09
78,2025-04-12,09:15,Latte,Bebida Caliente,4,6500,26000,Chapinero,Online,Si,Efectivo,"10 kg cafe, 5 litros leche",20.25,No,Tarde,0.5,4.645,-74.057
79,2024-07-25,16:30,Latte,Bebida Caliente,1,6500,6500,Chapinero,Presencial,Si,Nequi,"16 kg cafe, 7 litros leche",51.48,No,Tarde,0.0,4.645,-74.057
80,2025-02-10,06:15,Capuchino,Bebida Caliente,2,6000,12000,Usaquen,Presencial,Si,Efectivo,"3 kg cafe, 4 litros leche",37.28,Si,Noche,2.0,4.702,-74.03
81,2025-03-07,11:30,Sandwich,Otros,2,7000,14000,Usaquen,Presencial,Si,Tarjeta Credito,"14 kg cafe, 1 litros leche",52.35,Si,Tarde,0.0,4.702,-74.03
82,2023-02-02,06:45,Capuchino,Bebida Caliente,1,6000,6000,Suba,Presencial,No,Nequi,"2 kg cafe, 6 litros leche",22.34,Si,Noche,0.0,4.755,-74.09
83,2025-01-25,16:00,Agua,Bebida Fria,3,3000,9000,Fontibon,Presencial,Si,Tarjeta Credito,"14 kg cafe, 9 litros leche",47.14,Si,Tarde,0.0,4.68,-74.15
84,2024-08-20,16:00,Cafe Americano,Bebida Caliente,2,5000,10000,Fontibon,Presencial,No,Efectivo,"15 kg cafe, 4 litros leche",33.58,Si,Tarde,0.0,4.68,-74.15
85,2023-05-04,17:00,Capuchino,Bebida Caliente,4,6000,24000,Chapinero,Online,Si,Efectivo,"10 kg cafe, 2 litros leche",28.03,Si,Tarde,0.0,4.645,-74.057
86,2024-01-05,10:00,Capuchino,Bebida Caliente,1,6000,6000,Suba,Presencial,Si,Tarjeta Debito,"10 kg cafe, 7 litros leche",55.31,Si,Manana,2.0,4.755,-74.09
87,2024-01-13,17:45,Latte,Bebida Caliente,3,6500,19500,Chapinero,Presencial,Si,Efectivo,"10 kg cafe, 9 litros leche",24.53,Si,Noche,0.0,4.645,-74.057
88,2025-03-09,20:30,Agua,Bebida Fria,4,3000,12000,Fontibon,Online,Si,Efectivo,"18 kg cafe, 2 litros leche",22.56,No,Tarde,0.0,4.68,-74.15
89,2024-11-06,15:00,Cafe Americano,Bebida Caliente,3,5000,15000,Usaquen,Presencial,No,Efectivo,"19 kg cafe, 1 litros leche",56.33,Si,Noche,0.0,4.702,-74.03
90,2024-10-24,19:15,Capuchino,Bebida Caliente,3,6000,18000,Suba,Presencial,No,Efectivo,"7 kg cafe, 10 litros leche",42.13,Si,Tarde,0.0,4.755,-74.09
91,2025-01-20,19:00,Te Chai,Bebida Caliente,1,5500,5500,Usaquen,Presencial,Si,Nequi,"1 kg cafe, 6 litros leche",21.54,Si,Tarde,0.5,4.702,-74.03
92,2023-08-09,10:30,Croissant,Panaderia,1,4000,4000,Usaquen,Presencial,No,Efectivo,"17 kg cafe, 5 litros leche",31.32,No,Noche,0.0,4.702,-74.03
93,2024-11-15,13:15,Croissant,Panaderia,3,4000,12000,Engativa,Presencial,No,Nequi,"12 kg cafe, 4 litros leche",43.24,Si,Manana,0.0,4.7,-74.1
94,2023-09-26,19:30,Capuchino,Bebida Caliente,2,6000,12000,Fontibon,Presencial,No,Tarjeta Credito,"4 kg cafe, 6 litros leche",28.58,Si,Tarde,2.0,4.68,-74.15
95,2024-10-20,16:45,Latte,Bebida Caliente,2,6500,13000,Suba,Presencial,No,Tarjeta Debito,"2 kg cafe, 5 litros leche",44.36,Si,Tarde,0.0,4.755,-74.09
96,2024-06-13,18:15,Capuchino,Bebida Caliente,1,6000,6000,Chapinero,Online,No,Tarjeta Credito,"14 kg cafe, 4 litros leche",57.19,Si,Manana,0.0,4.645,-74.057
97,2023-11-12,10:30,Latte,Bebida Caliente,1,6500,6500,Usaquen,Presencial,No,Nequi,"7 kg cafe, 5 litros leche",35.87,Si,Manana,0.0,4.702,-74.03
98,2024-08-13,14:45,Te Chai,Bebida Caliente,4,5500,22000,Chapinero,Online,No,Efectivo,"19 kg cafe, 5 litros leche",21.7,Si,Noche,0.0,4.645,-74.057
99,2025-05-24,08:00,Latte,Bebida Caliente,3,6500,19500,Engativa,Presencial,Si,Tarjeta Credito,"14 kg cafe, 5 litros leche",58.82,Si,Noche,0.0,4.7,-74.1
100,2024-12-05,06:30,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,Si,Tarjeta Credito,"13 kg cafe, 5 litros leche",45.52,No,Noche,2.0,4.645,-74.057
101,2024-10-22,19:45,Muffin,Panaderia,2,4200,8400,Chapinero,Presencial,Si,Efectivo,"7 kg cafe, 3 litros leche",59.23,Si,Tarde,0.0,4.645,-74.057
102,2024-03-23,12:30,Latte,Bebida Caliente,2,6500,13000,Usaquen,Presencial,No,Nequi,"2 kg cafe, 7 litros leche",49.33,Si,Tarde,0.0,4.702,-74.03
103,2025-01-14,16:15,Cafe Americano,Bebida Caliente,1,5000,5000,Chapinero,Online,No,Tarjeta Credito,"3 kg cafe, 3 litros leche",48.07,Si,Noche,0.0,4.645,-74.057
104,2024-06-13,06:00,Capuchino,Bebida Caliente,1,6000,6000,Chapinero,Online,Si,Tarjeta Debito,"15 kg cafe, 2 litros leche",35.17,No,Noche,0.0,4.645,-74.057
105,2025-01-19,08:45,Latte,Bebida Caliente,3,6500,19500,Usaquen,Presencial,No,Efectivo,"4 kg cafe, 10 litros leche",21.99,Si,Manana,0.0,4.702,-74.03
106,2023-07-23,15:00,Capuchino,Bebida Caliente,3,6000,18000,Chapinero,Presencial,Si,Nequi,"2 kg cafe, 8 litros leche",32.63,Si,Manana,0.5,4.645,-74.057
107,2023-08-11,18:00,Agua,Bebida Fria,2,3000,6000,Usaquen,Online,Si,Tarjeta Credito,"14 kg cafe, 7 litros leche",56.8,Si,Noche,0.0,4.702,-74.03
108,2023-09-24,17:00,Te Chai,Bebida Caliente,1,5500,5500,Usaquen,Presencial,No,Efectivo,"11 kg cafe, 2 litros leche",48.42,Si,Noche,0.0,4.702,-74.03
109,2023-01-18,11:45,Latte,Bebida Caliente,4,6500,26000,Chapinero,Presencial,Si,Efectivo,"12 kg cafe, 7 litros leche",52.26,Si,Noche,0.0,4.645,-74.057
110,2023-02-05,16:00,Muffin,Panaderia,1,4200,4200,Fontibon,Presencial,No,Tarjeta Debito,"4 kg cafe, 10 litros leche",28.56,Si,Manana,2.0,4.68,-74.15
111,2024-03-20,17:00,Muffin,Panaderia,2,4200,8400,Engativa,Presencial,No,Tarjeta Debito,"7 kg cafe, 10 litros leche",26.9,No,Tarde,0.0,4.7,-74.1
112,2023-05-04,18:30,Muffin,Panaderia,1,4200,4200,Engativa,Presencial,Si,Nequi,"12 kg cafe, 6 litros leche",42.45,No,Manana,2.0,4.7,-74.1
113,2025-02-06,07:30,Capuchino,Bebida Caliente,4,6000,24000,Usaquen,Presencial,No,Tarjeta Credito,"14 kg cafe, 5 litros leche",20.67,Si,Manana,0.0,4.702,-74.03
114,2023-03-12,18:30,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Presencial,No,Tarjeta Credito,"6 kg cafe, 9 litros leche",25.28,Si,Tarde,0.0,4.645,-74.057
115,2023-12-15,11:45,Latte,Bebida Caliente,3,6500,19500,Usaquen,Presencial,Si,Tarjeta Credito,"7 kg cafe, 5 litros leche",53.76,Si,Manana,1.0,4.702,-74.03
116,2023-12-06,17:45,Cafe Americano,Bebida Caliente,2,5000,10000,Suba,Presencial,No,Efectivo,"19 kg cafe, 8 litros leche",54.57,Si,Tarde,1.0,4.755,-74.09
117,2024-02-10,07:00,Cafe Americano,Bebida Caliente,3,5000,15000,Chapinero,Presencial,No,Efectivo,"14 kg cafe, 10 litros leche",52.67,Si,Noche,0.0,4.645,-74.057
118,2024-09-29,13:15,Cafe Americano,Bebida Caliente,2,5000,10000,Engativa,Presencial,No,Tarjeta Debito,"13 kg cafe, 4 litros leche",57.26,No,Noche,0.0,4.7,-74.1
119,2023-10-12,14:00,Croissant,Panaderia,3,4000,12000,Fontibon,Online,No,Tarjeta Credito,"2 kg cafe, 1 litros leche",35.55,Si,Manana,0.0,4.68,-74.15
120,2024-05-09,17:00,Muffin,Panaderia,1,4200,4200,Chapinero,Online,No,Tarjeta Credito,"11 kg cafe, 10 litros leche",43.61,Si,Manana,0.0,4.645,-74.057
121,2023-08-19,18:30,Latte,Bebida Caliente,4,6500,26000,Chapinero,Presencial,No,Tarjeta Debito,"9 kg cafe, 8 litros leche",52.76,Si,Noche,0.5,4.645,-74.057
122,2023-02-14,08:00,Capuchino,Bebida Caliente,3,6000,18000,Engativa,Online,No,Tarjeta Debito,"16 kg cafe, 7 litros leche",37.32,Si,Tarde,0.0,4.7,-74.1
123,2025-04-03,08:45,Muffin,Panaderia,2,4200,8400,Suba,Presencial,No,Tarjeta Credito,"20 kg cafe, 10 litros leche",57.33,Si,Manana,0.0,4.755,-74.09
124,2023-12-13,10:30,Muffin,Panaderia,4,4200,16800,Chapinero,Presencial,No,Efectivo,"16 kg cafe, 10 litros leche",23.74,Si,Noche,0.0,4.645,-74.057
125,2024-07-25,09:45,Te Chai,Bebida Caliente,2,5500,11000,Suba,Online,Si,Nequi,"14 kg cafe, 8 litros leche",32.55,Si,Noche,0.0,4.755,-74.09
126,2023-05-25,13:00,Cafe Americano,Bebida Caliente,1,5000,5000,Usaquen,Online,Si,Tarjeta Debito,"3 kg cafe, 5 litros leche",35.71,Si,Manana,0.0,4.702,-74.03
127,2025-04-15,17:30,Cafe Americano,Bebida Caliente,4,5000,20000,Usaquen,Online,Si,Tarjeta Credito,"6 kg cafe, 3 litros leche",36.97,Si,Noche,0.5,4.702,-74.03
128,2024-09-24,13:00,Capuchino,Bebida Caliente,1,6000,6000,Fontibon,Presencial,Si,Tarjeta Debito,"20 kg cafe, 1 litros leche",38.26,Si,Noche,0.0,4.68,-74.15
129,2024-07-08,15:00,Croissant,Panaderia,4,4000,16000,Chapinero,Presencial,No,Nequi,"12 kg cafe, 6 litros leche",26.75,Si,Manana,0.0,4.645,-74.057
130,2023-08-20,10:00,Latte,Bebida Caliente,3,6500,19500,Fontibon,Online,No,Tarjeta Debito,"16 kg cafe, 5 litros leche",55.92,Si,Noche,0.5,4.68,-74.15
131,2024-03-29,14:15,Cafe Americano,Bebida Caliente,4,5000,20000,Usaquen,Presencial,No,Nequi,"7 kg cafe, 2 litros leche",41.69,Si,Tarde,0.0,4.702,-74.03
132,2023-03-24,07:30,Croissant,Panaderia,4,4000,16000,Chapinero,Online,No,Efectivo,"3 kg cafe, 4 litros leche",29.21,Si,Manana,2.0,4.645,-74.057
133,2024-03-13,14:45,Cafe Americano,Bebida Caliente,1,5000,5000,Suba,Online,No,Efectivo,"5 kg cafe, 3 litros leche",38.81,Si,Noche,0.0,4.755,-74.09
134,2024-05-08,19:15,Muffin,Panaderia,2,4200,8400,Usaquen,Presencial,No,Tarjeta Debito,"16 kg cafe, 4 litros leche",57.91,Si,Noche,2.0,4.702,-74.03
135,2025-05-03,08:45,Muffin,Panaderia,4,4200,16800,Engativa,Online,No,Efectivo,"20 kg cafe, 2 litros leche",20.82,Si,Manana,0.0,4.7,-74.1
136,2025-05-23,19:00,Muffin,Panaderia,2,4200,8400,Chapinero,Presencial,No,Tarjeta Credito,"16 kg cafe, 6 litros leche",35.53,Si,Tarde,2.0,4.645,-74.057
137,2024-09-22,15:30,Latte,Bebida Caliente,2,6500,13000,Fontibon,Online,No,Efectivo,"7 kg cafe, 5 litros leche",58.79,Si,Manana,0.0,4.68,-74.15
138,2023-06-06,11:00,Sandwich,Otros,3,7000,21000,Usaquen,Online,Si,Nequi,"19 kg cafe, 10 litros leche",54.44,Si,Manana,0.0,4.702,-74.03
139,2025-03-06,09:30,Muffin,Panaderia,1,4200,4200,Usaquen,Presencial,Si,Efectivo,"11 kg cafe, 9 litros leche",23.5,Si,Tarde,0.0,4.702,-74.03
140,2023-12-11,13:00,Muffin,Panaderia,1,4200,4200,Fontibon,Presencial,Si,Tarjeta Credito,"14 kg cafe, 1 litros leche",26.18,Si,Tarde,0.0,4.68,-74.15
141,2025-05-03,17:45,Muffin,Panaderia,2,4200,8400,Fontibon,Online,No,Tarjeta Credito,"3 kg cafe, 2 litros leche",57.12,Si,Noche,0.0,4.68,-74.15
142,2024-11-02,11:00,Capuchino,Bebida Caliente,3,6000,18000,Usaquen,Presencial,Si,Tarjeta Debito,"7 kg cafe, 8 litros leche",53.37,Si,Noche,0.0,4.702,-74.03
143,2024-12-27,16:00,Capuchino,Bebida Caliente,3,6000,18000,Chapinero,Online,Si,Efectivo,"12 kg cafe, 8 litros leche",39.92,Si,Tarde,0.0,4.645,-74.057
